"Sales Rank: Current","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Sales Rank: 365 days avg.","Sales Rank: Drops last 30 days","Reviews: Rating","Reviews: Rating Count","ASIN","Brand","Monthly Sales Trends: Monthly Sold (Last Known)"
"59859","69814","58290","67320","11","4.6","19","B0FSF1N457","nexlev","50"
"21604","37080","48869","82201","10","4.9","17","B0FS6TB7CP","nexlev","50"
"36453","22946","15083","13945","10","3.9","265","B0FT8R24QM","nexlev","50"
"10837","10712","23140","61472","12","3.5","4","B0FPGDVVCX","nexlev","10"
"8984","9219","10970","11830","26","4","88","B0DQ8W1RBV","nexlev","30"
"37579","23186","15162","20381","12","3.9","265","B0D845B2DG","nexlev","50"
"3622","75320","41939","235871","10","3.8","591","B0F2N1HTBT","nexlev",""
"3622","74629","166236","92764","6","3.8","591","B0FMF1D9NV","nexlev",""
"91436","45971","102721","101322","0","","","B0F2MZ8CG9","nexlev",""
"175030","161595","118321","65591","0","","","B0F2MZ9BJS","nexlev",""
"36453","21754","14290","246551","3","3.9","264","B0F2N37819","nexlev",""
"701625","492946","368951","458469","0","","","B0F2N11VTN","nexlev",""
"631899","607675","402541","186796","0","3.7","721","B0DGTGKPJR","nexlev",""
"523994","559052","438382","133961","1","","","B0F2N4N83Y","nexlev",""
"107718","124201","167041","108527","1","","","B0F2N31GNX","nexlev",""
"37864","34018","110215","74686","0","3.8","591","B0F678L8YT","nexlev",""
"152565","149994","115870","54295","0","3.5","317","B0F67BSF2R","nexlev",""
"81575","37750","123403","107375","2","3.6","247","B0F74DJYG6","nexlev",""
"61190","75463","164928","111081","2","4.1","62","B0F678RRCX","nexlev",""
"61190","61771","162049","105125","2","","","B0F67775SH","nexlev",""
"1505397","1478242","1219400","452210","0","","","B0F679QJH4","nexlev",""
"193411","102253","96715","58158","3","3.7","85","B0F6795PDP","nexlev",""
"193411","97129","88235","56284","7","3.7","90","B0F67BW7SF","nexlev",""
"257879","88829","121824","116890","1","","","B0FYNKYJFN","nexlev",""
"","","","","0","","","B0FYNLPK1B","nexlev",""
"36623","38170","39078","42961","1","","","B0FYNR2XCB","nexlev",""
"36623","35300","39615","44639","4","3.8","64","B0FYNT1TW7","nexlev",""
"56956","46649","51413","51413","11","4.2","5","B0GN85NZQN","nexlev","50"
